MovieID,Title,Genre,ReleaseYear,Rating,Language,RentalRate
51,Manager area,Comedy,2017,PG-13,Korean,3.03
52,Unit station meeting,Thriller,2023,G,English,7.46
53,Major certainly like,Sci-Fi,2010,G,English,3.29
54,Environment admit,Horror,1999,NC-17,German,5.91
55,Research stock attention,Horror,2021,R,Japanese,3.48
56,Southern former recently,Crime,2005,R,English,3.6
57,You call,Horror,1982,PG,German,4.3
58,Song deal,Thriller,2011,R,French,9.08
59,While particular,Crime,1986,PG-13,Japanese,9.5
60,Trial group foreign letter,Horror,2013,PG-13,French,8.83
61,Participant seek fish,Horror,2003,R,Spanish,4.18
62,Act,Sci-Fi,2008,PG,French,3.22
63,Coach face,Crime,2007,R,Korean,3.11
64,Rich,Crime,2010,PG-13,French,9.31
65,Year too,Drama,2011,PG-13,Korean,7.48
66,Green box recent,Drama,2007,PG-13,Japanese,4.58
67,Financial issue citizen,Comedy,2014,PG-13,English,4.22
68,Foot PM three,Crime,1988,NC-17,Japanese,3.67
69,Sign whose science,Comedy,2022,G,Mandarin,6.1
70,Can,Crime,2014,PG-13,Korean,8.14
71,Drug hit,Thriller,1984,PG-13,French,7.85
72,Practice Congress,Crime,1998,PG,French,6.1
73,Conference dinner,Comedy,1988,PG-13,Japanese,2.9
74,From research,Action,2019,G,Korean,8.72
75,People wrong,Thriller,2004,PG-13,Japanese,3.11
76,Condition city each,Sci-Fi,1992,PG,Korean,5.42
77,Police others,Sci-Fi,2002,PG,German,7.76
78,Tell wait,Sci-Fi,2014,G,Japanese,4.68
79,Be meeting film,Horror,2009,PG,Japanese,5.98
80,Probably as song,Drama,1989,PG-13,Mandarin,9.63
81,Memory add figure,Sci-Fi,1986,PG,English,3.3
82,Nature power,Thriller,1980,PG,Mandarin,2.98
83,Feel consider street,Action,2016,NC-17,Mandarin,7.16
84,How wind reflect,Sci-Fi,2015,R,Mandarin,6.07
85,Industry,Action,1993,PG-13,Spanish,4.85
86,Forget artist home,Drama,1998,PG-13,Spanish,7.37
87,Soldier,Drama,1980,R,Korean,3.12
88,Particularly almost instead,Action,2001,NC-17,English,9.71
89,Majority west,Action,2004,PG,Mandarin,3.58
90,Manage to,Horror,2010,R,Korean,8.76
91,Beautiful spend,Comedy,2015,NC-17,Mandarin,7.54
92,Tree difference,Action,2003,PG,French,3.39
93,Floor she,Comedy,2004,R,French,2.18
94,Free eat,Thriller,1996,NC-17,French,5.6
95,Bar high reach,Crime,2016,NC-17,Japanese,6.67
96,Born movie but,Thriller,2018,R,Mandarin,5.36
97,Cup open,Horror,1988,PG-13,French,2.19
98,Democratic safe,Comedy,2021,R,Mandarin,4.46
99,Few toward cost,Action,1990,G,Japanese,2.64
100,How how,Thriller,1990,PG-13,Mandarin,9.1
101,Hot real ok,Drama,2000,NC-17,Korean,9.2
102,While air,Drama,1982,R,Mandarin,4.41
103,Why pretty,Comedy,1996,NC-17,English,4.99
104,Address young,Drama,2002,G,Japanese,3.51
105,Seek close throughout,Action,1988,PG-13,German,2.55
106,Either mission family girl,Drama,1980,NC-17,Mandarin,4.85
107,Region concern life,Sci-Fi,1992,R,Mandarin,6.97
108,Night her couple,Thriller,1984,R,German,4.92
109,Century three,Comedy,2009,PG-13,Mandarin,7.74
110,Sit place,Action,1998,G,Japanese,5.37
111,His,Thriller,2000,R,Korean,2.99
112,Spring language,Crime,2013,R,English,4.05
113,Rich finish,Drama,2006,R,English,3.07
114,Identify door,Crime,1996,R,French,3.99
115,History item,Sci-Fi,2016,PG-13,Japanese,2.91
116,Statement make among,Drama,2016,R,German,2.17
117,Off its,Thriller,1990,PG-13,English,7.24
118,Computer would manager,Drama,2001,R,German,2.14
119,Free type,Sci-Fi,2000,R,Korean,7.48
120,Top player of doctor,Drama,1999,PG-13,German,8.6
121,Hope there foot,Horror,2015,PG,German,5.61
122,Side catch spring,Action,2022,G,English,7.03
123,Finish financial power,Comedy,2023,NC-17,Spanish,7.73
124,Research here,Crime,1990,PG,German,8.6
125,Best why south,Sci-Fi,1980,R,English,2.37
126,Color or lose,Horror,1991,G,German,9.87
127,Smile son,Drama,1991,PG,Japanese,8.72
128,Same suddenly keep,Action,1996,R,Japanese,7.52
129,Field may significant,Drama,1995,R,French,6.86
130,Civil call,Thriller,2013,PG-13,German,5.18
131,Develop claim product,Comedy,2021,R,English,9.18
132,Open watch,Action,1988,NC-17,Korean,7.92
133,Democratic after,Comedy,2011,PG-13,English,9.81
134,Herself hundred morning,Action,2011,PG-13,English,3.53
135,Radio check policy,Thriller,1999,NC-17,Mandarin,4.92
136,Far chance,Horror,1997,PG-13,English,6.03
137,Young do respond,Horror,1993,PG,Korean,3.71
138,Thank single,Crime,1997,NC-17,French,2.86
139,Organization majority,Sci-Fi,1994,NC-17,English,9.74
140,Lead answer,Comedy,1987,G,German,2.91
141,Or rather,Horror,1995,G,English,9.29
142,School second interview,Drama,2023,PG-13,German,6.67
143,Enter large board,Crime,2004,PG-13,Mandarin,7.9
144,Rate soon society,Comedy,2018,G,Japanese,3.48
145,Certain step,Sci-Fi,2007,R,French,2.11
146,Wrong range its,Horror,1994,G,Japanese,8.96
147,Another able fish,Comedy,1994,G,German,3.55
148,Project shake,Horror,1980,G,French,4.88
149,May attack rule,Horror,2015,PG-13,English,5.18
150,Ok,Action,2007,PG-13,English,4.44
151,People,Drama,2017,NC-17,Korean,9.93
152,Speech receive table,Sci-Fi,2010,PG,Mandarin,7.13
153,Key newspaper finish,Crime,2007,G,Korean,6.1
154,Black wide,Horror,2021,PG-13,Mandarin,4.86
155,Election give,Horror,2007,G,Japanese,4.05
156,Against sort,Comedy,1996,PG,Japanese,7.96
157,Poor responsibility,Crime,1994,R,Korean,9.35
158,Increase two even,Comedy,1993,R,French,6.77
159,Throw particularly senior,Comedy,2000,R,Korean,9.05
160,Key kitchen she,Horror,2017,PG-13,Korean,7.31
161,Box physical,Horror,1980,PG,Spanish,3.36
162,Point interesting which,Action,2021,NC-17,Japanese,9.63
163,Important former recent,Crime,1980,R,Spanish,6.15
164,So hour,Horror,1994,NC-17,German,9.46
165,Color painting skill,Sci-Fi,2015,G,French,6.29
166,Close issue,Sci-Fi,2022,NC-17,Mandarin,7.56
167,Identify speech,Crime,2017,G,Japanese,3.13
168,Recognize news little,Thriller,1999,PG,German,7.6
169,Finish should him,Drama,2021,R,Japanese,7.44
170,Lot,Drama,2010,NC-17,French,3.82
171,Travel yet almost,Comedy,1999,NC-17,English,8.23
172,Health edge ten,Comedy,2010,PG-13,German,3.1
173,Police similar care,Action,2023,PG,Korean,6.14
174,Available least up,Sci-Fi,1989,NC-17,Mandarin,2.66
175,Environment development mean,Sci-Fi,1986,NC-17,French,9.81
176,Stop true play,Drama,2001,NC-17,Mandarin,3.96
177,Method door,Drama,2010,PG,English,5.89
178,Century race,Action,2019,PG-13,English,7.56
179,Dark something church,Thriller,2003,R,Japanese,7.67
180,Push modern require,Horror,1989,NC-17,Korean,7.74
181,Statement senior number,Horror,1996,G,Mandarin,3.35
182,Audience body former,Thriller,1998,R,Spanish,5.76
183,At run,Sci-Fi,2023,PG-13,Japanese,2.21
184,Above develop,Crime,1986,PG-13,French,7.94
185,Fill hard you,Drama,2007,G,French,3.0
186,Case evening,Action,2023,PG-13,Mandarin,2.25
187,Peace,Thriller,1997,PG-13,German,2.81
188,Article right,Thriller,1995,NC-17,Mandarin,3.01
189,American improve,Sci-Fi,1990,G,Spanish,2.29
190,Thus example,Horror,2019,PG-13,Spanish,8.42
191,Hour several gas,Comedy,1980,PG,Korean,8.32
192,Building present easy,Crime,2004,G,English,7.03
193,Under certainly,Action,1992,PG-13,Japanese,4.2
194,Yard president degree,Action,2002,R,Mandarin,2.51
195,Task happen president,Sci-Fi,1986,R,Japanese,2.58
196,Threat recent start perhaps,Thriller,1981,G,German,9.14
197,Admit understand,Crime,2013,G,Mandarin,8.91
198,Information modern group,Drama,2000,R,English,7.75
199,Another red middle,Crime,2020,G,Korean,2.62
200,World room her,Action,2014,PG-13,Mandarin,7.67
201,Weight structure,Drama,2019,PG,Spanish,9.3
202,Life sea far prevent,Thriller,2006,PG-13,Mandarin,2.15
203,Growth message,Drama,1999,R,French,2.7
204,Manager fast,Thriller,1982,G,Mandarin,3.13
205,Establish control detail,Crime,1988,R,Mandarin,7.6
206,Even four,Sci-Fi,2015,NC-17,Spanish,5.76
207,Arm center standard,Drama,1988,NC-17,Mandarin,7.09
208,Gun hundred her,Sci-Fi,2005,G,English,4.56
209,Production cut wait democratic,Action,1989,R,Korean,4.64
210,Language focus line,Thriller,1996,G,Mandarin,3.16
211,Feel really,Horror,1987,G,Spanish,2.73
212,Home keep,Action,1989,NC-17,French,2.67
213,Score hair,Drama,2015,G,Spanish,4.31
214,Make condition,Sci-Fi,2002,R,Spanish,4.49
215,Worker budget,Horror,2017,G,Mandarin,9.52
216,Skill in,Action,1982,NC-17,English,7.95
217,He example,Drama,1993,R,Spanish,9.23
218,Response,Drama,2012,R,English,4.64
219,Me fight,Thriller,2010,PG-13,Mandarin,3.48
220,Her hard near,Sci-Fi,1987,R,French,3.71
221,Body western,Drama,1989,G,Japanese,9.13
222,Respond action,Crime,2012,G,German,6.8
223,Write project,Crime,1989,PG,Mandarin,6.99
224,Full,Horror,1999,NC-17,German,6.38
225,Goal others,Drama,1980,PG,French,7.68
226,Stage any,Comedy,1991,PG,Spanish,9.96
227,Station medical instead,Action,1980,NC-17,German,2.1
228,Herself,Crime,1989,PG-13,English,4.47
229,Hour here soon,Comedy,2018,PG,Spanish,7.41
230,Really green,Comedy,2013,PG-13,Mandarin,4.62
231,Behavior worry,Thriller,2021,R,Mandarin,8.25
232,Share view,Drama,2000,R,French,9.57
233,Tend in represent,Thriller,2017,G,English,5.9
234,On,Drama,1991,G,Mandarin,9.92
235,Strong accept million,Crime,1981,PG,English,8.16
236,Able,Thriller,1985,NC-17,Spanish,9.19
237,Serious live,Action,2000,G,Spanish,9.88
238,Itself ready office,Sci-Fi,2008,G,Japanese,3.48
239,Go amount I,Thriller,2023,NC-17,Japanese,8.41
240,Offer animal body,Drama,1992,NC-17,Korean,5.16
241,Behavior experience,Action,1991,PG-13,French,7.89
242,Nation else represent,Action,2010,R,Mandarin,5.74
243,Report town effect fill,Drama,2016,NC-17,English,3.89
244,Kid nearly treat,Sci-Fi,1982,G,English,2.73
245,Share around share,Comedy,1994,NC-17,German,4.56
246,Most more each,Horror,2006,NC-17,Korean,4.43
247,Social marriage over,Drama,1998,R,Japanese,2.25
248,Once quickly tonight,Action,1991,R,Japanese,8.31
249,Something goal,Crime,2019,NC-17,English,8.97
250,Worry food other subject,Horror,1996,PG,Korean,4.51
251,Already bed seat,Action,1999,NC-17,Mandarin,9.52
252,Wind still worker,Comedy,1992,R,German,3.51
253,Movement place change,Drama,1983,PG,Mandarin,3.97
254,Yes democratic,Action,2014,NC-17,Spanish,8.8
255,Possible work play,Thriller,1989,R,Spanish,2.94
256,Mother,Thriller,2010,NC-17,Spanish,4.12
257,Small police,Action,2015,PG,Mandarin,5.13
258,Future plant,Sci-Fi,2019,PG-13,Spanish,4.25
259,Be peace,Horror,2017,NC-17,Korean,6.24
260,Benefit character yard,Comedy,2008,G,Mandarin,9.0
261,Could particularly fund,Drama,2018,PG,Mandarin,8.13
262,Among name,Thriller,1982,G,Mandarin,4.99
263,More when state window,Comedy,2021,PG-13,English,5.35
264,Wide type able,Comedy,2012,PG-13,English,9.56
265,Consider line,Drama,1981,G,French,2.11
266,Image ten,Crime,1995,PG-13,German,5.35
267,Sort nation,Crime,1992,PG-13,French,3.12
268,Son by establish,Sci-Fi,2001,PG,Japanese,8.53
269,Few voice,Horror,1988,G,Japanese,2.41
270,Store,Thriller,2004,NC-17,French,4.2
271,Carry sister,Sci-Fi,2023,R,Spanish,7.9
272,Mouth little,Action,2004,R,Spanish,8.8
273,Two do career,Comedy,2020,NC-17,Mandarin,3.31
274,Improve school whose or,Action,1984,PG-13,French,2.61
275,Young whose letter,Horror,2012,PG,Japanese,5.14
276,Determine the,Action,1995,PG-13,English,7.2
277,Run pay,Comedy,1991,R,Mandarin,3.6
278,Economy however interview,Crime,1998,R,English,6.5
279,Agreement forward,Thriller,2021,NC-17,Korean,4.42
280,Property role various,Sci-Fi,1989,R,Spanish,5.23
281,Long process,Drama,2004,NC-17,German,3.34
282,According space itself,Sci-Fi,1992,NC-17,French,9.66
283,Yourself true,Drama,1988,R,Japanese,9.78
284,Learn air national,Horror,2016,PG-13,Japanese,9.77
285,Sometimes maybe thousand,Thriller,2018,PG-13,German,3.05
286,Either because,Sci-Fi,2010,G,Mandarin,4.27
287,Attorney city history,Sci-Fi,2006,G,French,4.42
288,Memory miss yourself,Horror,2011,PG,German,5.79
289,Allow federal to,Horror,1991,PG-13,Mandarin,3.6
290,Buy message raise,Sci-Fi,2009,NC-17,Spanish,2.9
291,Edge cultural while worry,Action,2000,G,German,3.33
292,Arm serious,Horror,2004,R,English,9.83
293,Career crime,Action,1983,PG,Japanese,4.15
294,Course common year,Thriller,2004,NC-17,English,7.54
295,Above cup seek,Drama,1986,G,Japanese,7.5
296,About mother maintain when,Horror,1983,G,Mandarin,9.97
297,Much change,Comedy,2004,NC-17,French,6.75
298,At,Drama,1999,PG-13,Korean,9.98
299,Far world best,Thriller,2005,PG,Japanese,8.39
300,Rise seven ok,Comedy,1985,PG-13,English,8.61
301,Hard ahead into,Comedy,2008,PG,German,8.17
302,Itself,Thriller,2004,G,German,3.6
303,Between success,Crime,1990,R,Japanese,2.05
304,Green public majority,Drama,1999,R,Japanese,6.91
305,Thought project,Action,1995,PG-13,French,4.8
306,Air agreement,Sci-Fi,2022,R,Spanish,4.57
307,Include federal discussion,Sci-Fi,2002,PG,French,5.31
308,Natural,Action,2015,NC-17,Korean,6.21
309,Billion,Thriller,2004,R,Mandarin,5.61
310,Car organization,Horror,2016,R,Korean,5.5
311,Guy be green,Horror,1986,G,Mandarin,8.89
312,Student threat very,Action,2004,R,Korean,9.23
313,Threat between candidate,Comedy,2015,PG-13,German,7.15
314,Store purpose,Thriller,1995,G,Korean,9.72
315,Positive avoid individual,Comedy,2001,NC-17,German,5.33
316,Know,Horror,2023,PG-13,English,3.06
317,Movie now effect thing,Drama,1987,G,Spanish,7.55
318,Billion,Sci-Fi,1993,PG-13,Mandarin,9.68
319,Enough current,Thriller,1980,NC-17,Spanish,3.7
320,Nor security,Sci-Fi,1986,G,French,9.92
321,Understand although maybe,Action,1986,R,Mandarin,3.18
322,Member claim table,Drama,1989,PG,Korean,3.14
323,Enough her image,Sci-Fi,2001,PG,Mandarin,9.62
324,South deal serve,Action,2015,PG,French,3.55
325,Modern down,Thriller,1983,NC-17,German,4.46
326,Take serve play,Drama,2014,NC-17,English,7.07
327,Field allow owner,Action,2000,R,Mandarin,6.63
328,Fly,Thriller,1989,PG,German,5.81
329,Every him,Action,1987,PG-13,French,4.45
330,Anything experience fly,Action,1985,NC-17,Japanese,3.84
331,Couple collection,Sci-Fi,2010,G,Korean,8.7
332,Treat term near,Comedy,2016,R,German,5.25
333,Still growth,Action,1991,PG,Korean,2.64
334,Kind exist close fall,Sci-Fi,2022,PG,English,8.25
335,Whom road,Action,2003,G,Spanish,4.77
336,Around measure word,Drama,1991,PG,German,3.17
337,Likely several indicate where,Action,2013,PG,Korean,8.73
338,Stage north all,Thriller,1980,G,Spanish,2.81
339,Than bill,Thriller,2011,NC-17,Japanese,2.1
340,Measure son book,Drama,2019,R,German,2.73
341,Yes spend,Crime,1987,G,Japanese,7.68
342,Game forward feel,Drama,1987,PG-13,Mandarin,7.9
343,Bit Congress,Sci-Fi,1996,G,Spanish,8.11
344,Bit great difference,Crime,2010,PG,German,8.65
345,Claim other man,Drama,2015,PG-13,Japanese,5.76
346,Focus company,Horror,2018,G,English,2.93
347,Let recently because,Crime,1985,R,German,2.0
348,Author,Comedy,1989,NC-17,Mandarin,7.08
349,Camera alone without throw,Sci-Fi,1997,PG,Mandarin,7.68
350,Lot carry station plant,Sci-Fi,1985,G,Korean,2.59
351,Should difficult discover,Action,2006,PG,English,5.06
352,Also difficult important,Crime,1986,PG-13,Japanese,8.4
353,Win eight young,Horror,1995,G,Mandarin,6.74
354,Else nature,Action,2011,PG-13,English,9.65
355,Exist by hear,Thriller,2008,PG-13,Korean,8.94
356,Detail newspaper bring,Sci-Fi,2004,PG,Korean,9.17
357,Husband Democrat,Thriller,1980,G,English,6.07
358,Beat next leave,Thriller,2010,PG,German,4.07
359,Young sure,Horror,2003,PG-13,English,7.34
360,Already phone,Thriller,2013,PG,French,5.28
361,Then north natural,Drama,2003,PG,German,2.23
362,Form letter,Drama,1988,NC-17,Japanese,6.71
363,Stay hit,Thriller,2012,PG,Korean,2.61
364,Discover job choice,Crime,1996,G,Spanish,9.41
365,Board,Drama,2002,NC-17,Mandarin,9.7
366,Less not,Sci-Fi,2011,PG-13,English,9.14
367,Learn staff,Thriller,1980,PG,English,8.23
368,Development defense figure,Drama,2000,R,French,3.17
369,Business then cultural,Comedy,1988,R,Japanese,7.86
370,Per Congress interview,Action,2022,NC-17,French,7.66
371,Someone away raise,Comedy,2017,G,Mandarin,4.52
372,Appear reality character speech,Comedy,2014,PG,English,4.51
373,Significant box game,Crime,1989,R,German,6.88
374,Hot thus,Action,2016,G,French,8.93
375,Officer position,Thriller,2009,PG-13,French,2.36
376,List professional,Thriller,1988,PG-13,German,5.69
377,Similar radio use,Drama,1997,PG,Spanish,2.57
378,Until bar surface within,Action,2015,G,English,3.1
379,Position address religious,Thriller,1986,R,Japanese,4.47
380,Field,Crime,1989,NC-17,English,6.2
381,The sit memory,Drama,1986,PG-13,French,2.45
382,Help camera,Comedy,2023,PG,Japanese,7.24
383,Team enjoy,Action,2020,PG,French,2.3
384,Certainly figure available,Crime,1992,PG,Mandarin,2.53
385,Anything suffer,Horror,1996,G,Korean,5.59
386,Forward defense yes,Crime,2015,G,English,4.5
387,Yeah,Sci-Fi,1980,PG,Korean,8.84
388,Design true,Horror,1985,R,English,6.07
389,Might take kid,Action,1984,R,German,9.82
390,War practice property,Comedy,2016,R,French,9.5
391,Religious realize,Crime,2001,NC-17,German,3.76
392,Half,Crime,1990,NC-17,Korean,4.79
393,Myself stay somebody,Horror,1981,R,Korean,5.1
394,Take area decision,Action,1983,PG,Mandarin,3.48
395,Better result,Comedy,2019,R,English,4.11
396,Change late official,Horror,1989,G,Spanish,2.67
397,Send both,Sci-Fi,1985,PG,Spanish,2.12
398,Third summer listen,Sci-Fi,1997,PG-13,German,2.25
399,How election radio,Sci-Fi,1995,PG,Mandarin,4.86
400,Feeling second,Thriller,1998,R,Japanese,8.28
401,Which morning statement,Horror,1982,PG,English,9.21
402,By which,Crime,1995,R,Mandarin,4.84
403,One although real,Thriller,2007,NC-17,Mandarin,5.28
404,Animal vote Democrat base,Thriller,2011,PG,Mandarin,2.11
405,This military,Horror,2002,G,Korean,5.07
406,Follow score,Horror,1981,PG-13,English,6.48
407,Believe better,Sci-Fi,1981,R,German,4.73
408,Dark young his,Comedy,1993,NC-17,Japanese,2.67
409,Research skill floor,Crime,1994,G,Mandarin,9.5
410,Operation people data,Sci-Fi,1981,G,Korean,5.47
411,Nation,Sci-Fi,1999,PG,German,5.6
412,With bank,Thriller,2023,G,English,7.27
413,By by discussion,Crime,2004,G,French,4.08
414,Certainly politics store,Crime,1998,R,Korean,3.9
415,Stand public society,Thriller,2012,PG,Spanish,4.49
416,Begin top high,Drama,2023,PG,French,3.58
417,Different half set,Thriller,2012,G,English,9.07
418,Activity,Comedy,1982,G,French,7.14
419,Meeting year,Sci-Fi,2001,PG-13,Japanese,6.74
420,Of just resource,Crime,1982,R,Mandarin,4.08
421,Cultural,Horror,2010,R,Mandarin,7.05
422,Important,Comedy,2013,NC-17,German,8.28
423,Agreement in,Drama,2007,R,Mandarin,5.94
424,Student ok,Sci-Fi,2006,PG,Japanese,8.6
425,Fund try moment,Sci-Fi,1990,PG,English,4.73
426,Arrive event,Action,2006,G,French,3.21
427,Land million process,Drama,2020,PG-13,Mandarin,4.97
428,Attorney maintain report,Drama,1982,G,English,2.02
429,Reality,Action,2019,PG-13,Spanish,4.49
430,Blue she,Thriller,2021,R,German,7.76
431,Finally history,Horror,2004,PG-13,French,9.14
432,Me certain,Crime,2002,NC-17,Mandarin,5.92
433,According field,Horror,1984,G,Korean,6.08
434,Strategy son school,Comedy,2008,R,German,8.36
435,Local focus,Sci-Fi,1990,G,French,5.02
436,Among instead oil,Sci-Fi,1999,R,Japanese,3.3
437,Personal money growth or,Action,1982,NC-17,German,8.72
438,Such small oil,Thriller,2017,NC-17,Japanese,7.88
439,Should candidate learn,Thriller,2015,G,French,5.77
440,Friend laugh,Action,2008,PG-13,Mandarin,4.64
441,Itself form,Action,1994,PG,German,3.67
442,Live sign might,Comedy,1984,G,Spanish,5.41
443,Simply lot data,Drama,2012,PG-13,Korean,4.58
444,Money increase few,Crime,2003,R,English,3.5
445,Congress site food,Action,2023,R,English,4.7
446,High energy,Horror,1990,PG-13,French,6.27
447,View agree,Drama,1990,R,English,6.98
448,Continue bar wrong,Comedy,1999,PG-13,Spanish,8.35
449,Seem maybe specific,Comedy,1992,NC-17,Mandarin,4.12
450,Be serious TV,Horror,2020,PG-13,Spanish,3.14
451,Democrat move,Crime,2023,PG-13,German,5.13
452,Guess subject life,Thriller,2015,G,Spanish,6.11
453,Relationship long building,Drama,1995,PG,Korean,7.78
454,Left left,Thriller,1987,R,German,7.52
455,Minute word example,Sci-Fi,1994,PG-13,Spanish,2.26
456,Continue thus medical,Crime,1996,PG,Japanese,6.67
457,Leg let trial,Crime,2000,NC-17,French,8.6
458,Inside now,Drama,1989,G,Spanish,3.39
459,Writer election notice,Drama,1987,G,Japanese,9.81
460,Fact administration too,Drama,2012,PG-13,French,5.06
461,President price these,Sci-Fi,2017,NC-17,German,3.81
462,Relationship picture chair,Crime,1983,NC-17,Mandarin,4.76
463,Through actually,Drama,2001,PG-13,German,9.15
464,Unit effort charge,Comedy,2020,G,Spanish,3.48
465,North have wife,Sci-Fi,1985,NC-17,Japanese,9.12
466,Sign wind could,Thriller,2020,NC-17,Spanish,5.67
467,Pick our rock,Comedy,2013,R,French,5.38
468,Theory,Horror,1982,PG-13,Korean,3.85
469,Hand modern air,Sci-Fi,1991,NC-17,German,5.37
470,Yourself shake,Crime,2022,NC-17,Mandarin,3.25
471,Social off,Comedy,2012,G,Mandarin,7.08
472,Process must agreement,Horror,2022,NC-17,Japanese,6.49
473,Ask billion,Thriller,2022,R,French,5.67
474,Avoid statement source,Drama,2007,PG-13,Spanish,2.94
475,Figure while,Crime,2010,R,Spanish,3.41
476,Produce public audience,Action,2015,PG-13,German,6.9
477,Member,Action,1989,G,Korean,2.76
478,Special collection,Crime,1992,PG-13,Japanese,6.2
479,Hour than today,Comedy,1996,G,Mandarin,7.98
480,Area often degree,Drama,2013,R,French,9.27
481,Walk onto,Crime,2000,G,English,5.23
482,Major all while,Action,2008,PG,French,6.55
483,Bill,Crime,2001,G,Mandarin,8.74
484,Main next,Thriller,2023,G,Korean,8.07
485,May school,Drama,2004,PG-13,Japanese,8.55
486,Style actually,Crime,1984,NC-17,Spanish,9.24
487,Himself her common,Sci-Fi,2017,PG-13,German,8.42
488,Usually while,Horror,1986,PG-13,German,8.28
489,Sell statement feel,Thriller,2006,PG-13,English,9.77
490,There teach ball,Sci-Fi,2002,R,German,9.01
491,Field,Drama,1981,G,French,2.61
492,Ask explain,Comedy,1996,PG,Japanese,6.06
493,Teacher hit evening,Thriller,2002,R,Korean,7.13
494,Card far surface,Action,2011,R,French,6.67
495,Man production determine season,Action,2008,G,French,3.39
496,Near future spend,Crime,1983,R,Mandarin,5.64
497,Discussion magazine,Thriller,2009,NC-17,Mandarin,4.73
498,Participant letter a,Drama,1988,R,Japanese,9.21
499,Figure future,Thriller,1992,PG-13,Japanese,6.95
500,Material,Horror,1997,PG,Japanese,9.05
